country,sub_region,language_1,language_2,language_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
Japan,Japan,Japanese,,,aco,Support,True,1st,ZETA DIVISION GC,ZETA,KAY/O,Skye,Breach,11,124,155,103,0.8,1.46,163,11.2,14.0,9.3
Philippines,South East Asia,Filipino,English,,akn,Support,False,13th-16th,BAS.Kitsune,BAS.K,Skye,Gekko,,2,9,33,6,0.27,0.45,82,4.5,16.5,3.0
Australia,Oceania,English,,,alannah,Anchor,False,1st,swaglord9000,SL9,Killjoy,Cypher,Sova,9,127,94,46,1.35,1.84,223,14.1,10.4,5.1
Thailand,South East Asia,Thai,,,annyyuu,Smoker,False,9th-12th,LILITH,LL,Brimstone,Omen,Viper,4,39,62,32,0.62,1.14,165,9.7,15.5,8.0
South Korea,South Korea,Korean,,,atti,Entry,False,3rd,Nuclear GC,NC,Raze,Jett,,7,116,117,22,0.99,1.17,262,16.5,16.7,3.1
Australia,Oceania,English,,,averageferret,Smoker,False,1st,swaglord9000,SL9,Omen,Fade,Viper,9,135,99,80,1.36,2.17,232,15.0,11.0,8.8
New Zealand,Oceania,English,Maori,,ayachzi,Entry,False,7th-8th,Blossom (Australian team),BLSM,Raze,Jett,,6,96,100,19,0.96,1.14,218,16.0,16.6,3.1
Thailand,South East Asia,Thai,,,babytz,Support,False,3rd,BOBA,BOBA,Sova,Killjoy,Skye,15,254,203,89,1.25,1.68,229,16.9,13.5,5.9
Philippines,Japan,Japanese,Filipino,English,bes,Smoker,False,5th-6th,DRX Changers,DRX,Omen,Brimstone,,7,115,105,51,1.09,1.58,216,16.4,15.0,7.2
Australia,Oceania,English,,,bethany,Flex,False,1st,swaglord9000,SL9,Sova,Omen,Phoenix,9,123,95,68,1.29,2.01,211,13.6,10.5,7.5
Indonesia,South East Asia,Indonesian,,,bittersweet,Smoker,False,9th-12th,BIGG Siren,BIGG.S,Omen,Viper,,5,77,64,41,1.2,1.84,169,15.4,12.8,8.2
Singapore,South East Asia,Mandarin,English,Malay,bless,Anchor,False,9th-12th,RIMA GC,RIMA,Cypher,Killjoy,Chamber,9,145,118,33,1.22,1.5,226,16.1,13.1,3.6
Myanmar,Oceania,English,Burmanese,,blue,Anchor,False,2nd,Penguin Party,PIP,Cypher,Viper,Killjoy,15,181,189,63,0.95,1.29,179,12.0,12.6,4.2
Philippines,South East Asia,Filipino,English,,capriciouS,Entry,False,2nd,Sisu,SISU,Neon,Jett,Clove,21,359,299,81,1.2,1.47,235,17.0,14.2,3.8
Indonesia,South East Asia,Indonesian,,,capybara,Entry,False,9th-12th,BIGG Siren,BIGG.S,Raze,Jett,,6,105,95,24,1.1,1.35,225,17.5,15.8,4.0
Singapore,South East Asia,Mandarin,English,Malay,cjsakura,Smoker,False,13th-16th,Watermelon,,Omen,Viper,,6,64,88,45,0.72,1.23,179,10.6,14.6,7.5
Singapore,South East Asia,Mandarin,English,Malay,cr0w,Entry,False,13th-16th,BAS.Kitsune,BAS.K,Reyna,,,2,24,35,7,0.68,0.88,174,12.0,17.5,3.5
Indonesia,South Asia,Indonesian,,,crescents,Smoker,False,2nd,9to5 workers,N2F,Omen,Viper,,5,71,77,58,0.92,1.67,176,14.2,15.4,11.6
South Korea,South Korea,Korean,,,d0r1,Flex,False,4th,SGA InCheon,SGA,Breach,Harbor,,5,60,72,32,0.83,1.27,189,12.0,14.4,6.4
Australia,Oceania,English,,,dawn,Support,False,3rd,DXA Esports GC,DXA,Sova,Brimstone,Breach,9,107,106,58,1.0,1.55,173,11.8,11.7,6.4
South Korea,South Korea,Korean,,,dorothy,Entry,False,1st,Mir Gaming GC,MIR,Jett,Raze,Neon,8,168,100,26,1.68,1.94,286,21.0,12.5,3.2
Singapore,South East Asia,Mandarin,English,Malay,elfie,Flex,False,5th-6th,Cardboard Dinosaur,CBD,Raze,Fade,Omen,14,248,232,94,1.06,1.47,239,17.7,16.5,6.7
Pakistan,South Asia,English,Urdu,,eluwu,Entry,False,1st,Purr-Fectionists,PURR,Raze,Jett,,5,94,67,22,1.4,1.73,282,18.8,13.4,4.4
Australia,Oceania,English,,,emixringo,Flex,False,9th-10th,Clueless,CLS,Raze,Sage,,4,54,70,20,0.77,1.05,177,13.5,17.5,5.0
South Korea,South Korea,Korean,,,f1yk,Anchor,False,1st,Mir Gaming GC,MIR,Killjoy,Viper,Cypher,8,110,88,25,1.25,1.53,182,13.7,11.0,3.1
Philippines,South East Asia,Filipino,English,,grahams,Flex,False,2nd,Sisu,SISU,Raze,KAY/O,Cypher,20,312,273,111,1.14,1.54,226,15.6,13.6,5.5
South Korea,South Korea,Korean,,,h4ste,Flex,False,1st,Mir Gaming GC,MIR,Omen,Gekko,,8,128,105,79,1.21,1.97,225,16.0,13.1,9.8
